timestamp,datetime,open,high,low,close,volume
1693526400,2023-09-01 00:00:00,1645.58,1647.53,1644.59,1647.52,486.77634832
1693526700,2023-09-01 00:05:00,1647.53,1647.96,1647.26,1647.96,93.48225733
1693527000,2023-09-01 00:10:00,1647.95,1649.45,1647.64,1649.45,126.32620918
1693527300,2023-09-01 00:15:00,1649.37,1651.44,1649.03,1650.75,173.57201115
1693527600,2023-09-01 00:20:00,1650.75,1652.4,1649.65,1650.11,270.93619997
1693527900,2023-09-01 00:25:00,1650.09,1652.02,1649.86,1651.28,74.7814052
1693528200,2023-09-01 00:30:00,1651.29,1652.6,1651.01,1651.67,75.96271121
1693528500,2023-09-01 00:35:00,1651.78,1651.86,1650.5,1650.96,180.09730471
1693528800,2023-09-01 00:40:00,1650.96,1653.0,1650.96,1651.83,319.87039235
1693529100,2023-09-01 00:45:00,1651.82,1653.05,1651.46,1652.3,143.89857251
1693529400,2023-09-01 00:50:00,1652.32,1653.0,1652.17,1652.87,30.73743871
1693529700,2023-09-01 00:55:00,1652.86,1654.27,1652.22,1652.23,213.07447795
1693530000,2023-09-01 01:00:00,1652.21,1652.89,1650.91,1651.15,163.10424981
1693530300,2023-09-01 01:05:00,1651.04,1651.37,1650.24,1650.34,72.8093751
1693530600,2023-09-01 01:10:00,1650.33,1652.01,1650.16,1651.47,104.50346026
1693530900,2023-09-01 01:15:00,1651.49,1651.51,1650.05,1650.34,154.84012512
1693531200,2023-09-01 01:20:00,1650.33,1650.9,1649.7,1650.39,58.0492811
1693531500,2023-09-01 01:25:00,1650.39,1651.16,1649.01,1650.61,227.69868109
1693531800,2023-09-01 01:30:00,1650.61,1650.97,1648.83,1649.84,137.39371733
1693532100,2023-09-01 01:35:00,1649.78,1650.5,1649.35,1649.85,87.11527523
1693532400,2023-09-01 01:40:00,1649.84,1649.87,1649.05,1649.58,40.34488073
1693532700,2023-09-01 01:45:00,1649.57,1650.43,1648.69,1649.34,205.3384646
1693533000,2023-09-01 01:50:00,1649.35,1650.42,1649.34,1649.95,64.28479196
1693533300,2023-09-01 01:55:00,1649.95,1649.95,1648.65,1648.83,72.92210545
1693533600,2023-09-01 02:00:00,1648.82,1650.08,1648.65,1649.89,50.23581467
1693533900,2023-09-01 02:05:00,1649.97,1650.26,1649.39,1650.23,61.9853873
1693534200,2023-09-01 02:10:00,1650.24,1650.24,1649.32,1649.63,43.55115666
1693534500,2023-09-01 02:15:00,1649.63,1649.99,1649.28,1649.89,64.89289848
1693534800,2023-09-01 02:20:00,1649.91,1651.05,1649.91,1650.3,99.04459175
1693535100,2023-09-01 02:25:00,1650.29,1651.23,1649.69,1651.22,171.78057433
1693535400,2023-09-01 02:30:00,1651.21,1651.93,1650.95,1651.54,200.61269428
1693535700,2023-09-01 02:35:00,1651.64,1651.64,1650.83,1651.06,74.85742494
1693536000,2023-09-01 02:40:00,1651.05,1652.34,1650.63,1651.83,173.8683611
1693536300,2023-09-01 02:45:00,1651.82,1651.84,1650.91,1651.75,153.71726443
1693536600,2023-09-01 02:50:00,1651.74,1651.83,1650.23,1650.23,200.57842635
1693536900,2023-09-01 02:55:00,1650.25,1650.25,1649.37,1649.44,67.25795834
1693537200,2023-09-01 03:00:00,1649.46,1649.81,1648.9,1649.61,94.26066897
1693537500,2023-09-01 03:05:00,1649.61,1649.81,1648.31,1648.64,179.97917446
1693537800,2023-09-01 03:10:00,1648.64,1648.99,1648.47,1648.98,37.49039998
1693538100,2023-09-01 03:15:00,1648.97,1649.83,1648.74,1649.42,52.4079385
1693538400,2023-09-01 03:20:00,1649.75,1649.85,1649.02,1649.44,49.82167531
1693538700,2023-09-01 03:25:00,1649.44,1649.64,1649.18,1649.54,71.97279716
1693539000,2023-09-01 03:30:00,1649.53,1651.26,1649.44,1651.04,97.23011809
1693539300,2023-09-01 03:35:00,1651.03,1651.82,1650.66,1651.64,145.81322472
1693539600,2023-09-01 03:40:00,1651.64,1652.16,1650.7,1651.28,150.25804917
1693539900,2023-09-01 03:45:00,1651.28,1652.24,1651.19,1651.92,125.51674489
1693540200,2023-09-01 03:50:00,1651.93,1652.24,1651.89,1651.94,15.56782717
1693540500,2023-09-01 03:55:00,1651.94,1652.52,1651.34,1651.71,53.03021882
